customername,customer_last_transaction_date,total_qty_order,recency_Value,frequency_Value,monitary_Value,R_SCORE,F_SCORE,M_SCORE,totsl_RFM_score,RFM_combination,customer_segment
"Boards & Toys Co.",2005-02-08,102,112,2,9129,4,2,1,7,421,"Potential Loyalists"
"Atelier graphique",2004-11-25,270,187,3,24180,3,3,1,7,331,"Promising Customers"
"Auto-Moto Classics Inc.",2004-12-03,287,179,3,26479,3,3,1,7,331,"Promising Customers"
"Microscale Inc.",2004-11-03,381,209,2,33145,2,1,1,4,211,"Needs Attention"
"Royale Belge",2005-01-10,278,141,4,33440,4,5,1,10,451,"Promising Customers"
"Bavarian Collectables Imports, Co.",2004-09-15,401,258,1,34994,1,1,1,3,111,"About to Sleep"
"Double Decker Gift Stores, Ltd",2004-01-22,357,495,2,36019,1,1,1,3,111,"About to Sleep"
"Cambridge Collectables Co.",2004-05-08,357,388,2,36164,1,1,1,3,111,"About to Sleep"
"West Coast Collectables Co.",2004-01-29,511,488,2,46085,1,1,1,3,111,"About to Sleep"
"Men 'R' US Retailers, Ltd.",2004-01-09,500,508,2,48048,1,1,1,3,111,"About to Sleep"
"CAF Imports",2004-03-19,468,438,2,49642,1,1,1,3,111,"About to Sleep"
"Signal Collectibles Ltd.",2004-02-10,514,476,2,50219,1,1,1,3,111,"About to Sleep"
"Mini Auto Werke",2005-03-10,532,82,3,52264,4,4,1,9,441,"Potential Loyalists"
"Iberia Gift Imports, Corp.",2004-10-06,589,237,2,54724,2,2,1,5,221,"Needs Attention"
"Online Mini Collectables",2004-09-10,572,263,2,57198,1,1,1,3,111,"About to Sleep"
"Gift Ideas Corp.",2004-12-04,666,178,3,57294,3,3,1,7,331,"Promising Customers"
"Clover Collections, Co.",2004-09-16,490,257,2,57756,2,2,1,5,221,"Needs Attention"
"Australian Gift Network, Co",2005-02-02,545,118,3,59469,4,4,1,9,441,"Potential Loyalists"
"Australian Collectables, Ltd",2005-05-09,705,22,3,64591,5,2,1,8,521,"Potential Loyalists"
"Auto Assoc. & Cie.",2004-10-11,637,232,2,64834,2,2,2,6,222,"Needs Attention"
"Classic Gift Ideas, Inc",2004-10-14,668,229,2,67507,2,2,2,6,222,"Needs Attention"
"Osaka Souveniers Co.",2004-04-13,692,413,2,67605,1,1,2,4,112,"About to Sleep"
"Daedalus Designs Imports",2004-02-21,699,465,2,69052,1,1,2,4,112,"About to Sleep"
"Alpha Cognac",2005-03-28,687,64,3,70488,4,4,2,10,442,"Potential Loyalists"
"Diecast Collectables",2004-04-26,695,400,2,70860,1,1,2,4,112,"About to Sleep"
"Quebec Home Shopping Network",2005-05-01,717,30,3,74205,5,4,2,11,542,"Loyal Customers"
"Mini Wheels Co.",2004-11-18,692,194,3,74476,3,3,2,8,332,"Promising Customers"
"Royal Canadian Collectables, Ltd.",2004-08-20,873,284,2,74635,1,1,2,4,112,"About to Sleep"
"Marseille Mini Autos",2005-01-06,804,145,3,74936,3,3,2,8,332,"Promising Customers"
"Petit Auto",2005-05-30,796,1,3,74973,5,2,2,9,522,"Potential Loyalists"
"Canadian Gift Exchange Network",2004-10-22,703,221,2,75239,2,2,2,6,222,"Needs Attention"
"Volvo Model Replicas, Co",2004-11-19,647,193,4,75755,3,5,2,10,352,"Promising Customers"
"Classic Legends Inc.",2004-11-21,720,191,3,77795,3,3,2,8,332,"Promising Customers"
giftsbymail.co.uk,2004-11-01,895,211,2,78241,2,1,2,5,212,"Needs Attention"
"Enaco Distributors",2004-11-24,882,188,3,78412,3,3,2,8,332,"Promising Customers"
"Lyon Souveniers",2005-03-17,684,75,3,78570,4,4,2,10,442,"Potential Loyalists"
"Norway Gifts By Mail, Co.",2004-08-21,787,283,2,79224,1,1,2,4,112,"About to Sleep"
